"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LCN6",36.4708135659869,-3.71874209418347,0.22579480588901,-16.4695643885246,6.0705933108654e-61,1.13331906520546e-56
"SOX7",88.2892943456268,-2.95116703428218,0.189264750455304,-15.5927980629394,8.14848827736284e-55,7.60620638250434e-51
"DEFB130",13.5047508501104,-5.01663297943739,0.362424059332477,-13.8418872871662,1.42417635570023e-43,8.86264946152256e-40
"LIMS3",83.8750931406316,-3.40849868820968,0.249461130621673,-13.6634460034535,1.67848825430076e-42,7.83392430488524e-39
"CCDC177",12.5919431593098,-4.53227927310994,0.335595253407983,-13.5051948056013,1.45727772901655e-41,5.44118358460199e-38
"MDGA2",17.6835207621375,-3.0708602251077,0.231969779039335,-13.238190930841,5.28054839845256e-40,1.4221577177322e-36
"ZNF788",633.505645496327,-1.53323582241706,0.115825560123051,-13.2374565751133,5.3324248883847e-40,1.4221577177322e-36
"MUC3A",70.0958486300041,-2.8206718855609,0.219996574974832,-12.8214354513637,1.243763521862e-37,2.90247764870522e-34
"TMEM236",82.3201780855271,-1.45415324665746,0.116186580181888,-12.5156730181834,6.12861987841515e-36,1.14415204510132e-32
"OC90",27.2858828055416,-3.00890164387915,0.240374200101478,-12.5175731946643,5.98368055631923e-36,1.14415204510132e-32
"CDRT1",46.7237963414346,-2.6565932974259,0.213340854910618,-12.4523420445602,1.35800772009229e-35,2.30478601149118e-32
"KLK9",15.8978965307423,-4.24512479206637,0.342257564347054,-12.4033045118084,2.50764679347537e-35,3.90127149894931e-32
"HIST2H3C",40.2917685511529,3.58733005989113,0.291564665078439,12.3037202019183,8.64965725524519e-35,1.15343179498695e-31
"HIST2H3A",40.2917685511529,3.58733005989113,0.291564665078439,12.3037202019183,8.64965725524519e-35,1.15343179498695e-31
"GOLGA7B",55.5653423398726,-2.84882366510675,0.233150649103181,-12.2188107820622,2.46666584391031e-34,3.07001230933077e-31
"FAM47E-STBD1",55.2523074930592,-2.40886613106717,0.20300855217711,-11.8658357258053,1.78114977061429e-32,2.07826781672489e-29
"UGT2A1",11.0709197820812,-2.73687536414937,0.240487853040223,-11.3805139409333,5.2290659761052e-30,5.74243721811223e-27
"SOGA3",30.5404490428181,-2.01207450450019,0.177703972823758,-11.3226197058392,1.01395824534123e-29,1.05164369345975e-26
"RNASE11",8.22766620913444,-6.49980332934225,0.576495993354486,-11.2746721647127,1.75029379333632e-29,1.71980183304188e-26
"LTB4R2",231.574257128738,-2.22533156179663,0.197831553768252,-11.2486179247395,2.35249313203588e-29,2.1959347140989e-26
"MMP11",97.0454073836672,4.3052750932059,0.386109819832802,11.1503900498315,7.12931639491535e-29,6.33796227507974e-26
"ZNF709",51.1404866737346,-1.8531528718852,0.167554058278587,-11.0600297654624,1.96032459446907e-28,1.59118695018013e-25
"MRPS17",347.125696054394,-1.53908147280115,0.139120152253649,-11.0629657017269,1.89718833852032e-28,1.59118695018013e-25
"CLN3",2035.85738353612,-1.35393184840894,0.123036902578424,-11.0042744902972,3.64437475454449e-28,2.83486801219129e-25
"KRT222",10.9817565773707,-2.52393598593214,0.229584071088198,-10.9935152468071,4.10615584570065e-28,3.06631293933542e-25
"SIGLEC5",22.9329852110938,-2.35710145515579,0.219044537860358,-10.7608319211249,5.26923145693666e-27,3.78351084882886e-24
"FN1",444.881026965304,2.86709181133516,0.267990366227739,10.6984883512518,1.03452081144998e-26,7.15313667739247e-24
"ANKRD18A",134.632131684693,-2.10674794562683,0.197059139167297,-10.690942599918,1.12224565558979e-26,7.48257290864492e-24
"TK1",26.2674473971847,3.29490944990338,0.310783074347498,10.6019591215551,2.91802401204848e-26,1.87850311313563e-23
"CST1",15.0190969481455,6.63647436945164,0.626449646151939,10.5937874020956,3.18441131471104e-26,1.98165916114468e-23
"HN1",49.0944413162955,2.3579100959298,0.228105221661981,10.3369404643611,4.79605510412169e-25,2.88830815286606e-22
"MTHFD2",36.7082837835426,2.07444409856018,0.203167726552016,10.2105001309303,1.77945242093928e-24,1.03814366395361e-21
"ITGB3",82.0952654089233,-2.47530927584734,0.242528903588679,-10.2062444484777,1.85922274031938e-24,1.05181301027341e-21
"MYBL2",12.3529200015143,3.50367481474235,0.34507124080196,10.1534825289979,3.19745479799628e-24,1.75568481246448e-21
"ZNF223",68.40758459193,-2.65528269557583,0.262698494590536,-10.1077194968878,5.10589331478555e-24,2.72348349410661e-21
"NDUFA7",1360.42054274737,-1.23186588274005,0.122084467381723,-10.0902752754645,6.09982188352553e-24,3.16326596509828e-21
"RPP14",261.318317581706,-1.30419195290223,0.129453223469171,-10.0746193717828,7.15372382895302e-24,3.60953703142497e-21
"TLR9",34.3019742340759,-2.13957401253623,0.213064011909024,-10.04193056052,9.97034061998589e-24,4.89832339564517e-21
