"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000280","nuclear division","65/724","451/18986",0.144124168514412,3.77947715941248,11.8947549655553,1.39598406364272e-20,6.78587853336724e-17,5.78525185111723e-17,"MYBL2/NUSAP1/CCNB1/AURKB/PLK1/CDCA8/FANCA/KIFC1/KIF2C/ZWINT/TPX2/NCAPD2/PRC1/CKS2/UBE2S/INCENP/AURKA/ESPL1/UBE2C/NCAPH/CDT1/CCNB2/TOP2A/CDC20/RCC1/NCAPG2/PTTG1/PSRC1/ANAPC11/KIF4A/PKMYT1/ASPM/CCNE1/CHMP4C/CDCA5/RAD54L/RAD51/CENPF/PDXP/MAD2L1/PRICKLE1/KIF11/KIF18B/MKI67/BUB3/CALR/RANBP1/MYBL1/KIF23/TDRKH/SPC24/SMC4/DLGAP5/SPAG5/RAD51AP1/KIF14/ANLN/TNF/CDC25B/MAPK15/KIF18A/TTK/CCNE2/KIF15/HORMAD1",65
"GO:0007059","chromosome segregation","62/724","429/18986",0.144522144522145,3.7899135854937,11.6376670637795,9.78220051163352e-20,2.37756383435253e-16,2.02697491654217e-16,"MYBL2/NUSAP1/CCNB1/AURKB/PLK1/CDCA8/KIFC1/KIF2C/ZWINT/TPX2/NCAPD2/CENPM/SAC3D1/PRC1/INCENP/AURKA/ESPL1/UBE2C/NCAPH/CDT1/CCNB2/TOP2A/CDC20/RCC1/NCAPG2/PTTG1/PSRC1/ANAPC11/KIF4A/DSN1/TACC3/TUBB/ASPM/CCNE1/CHMP4C/CDCA5/CENPF/MAD2L1/PRICKLE1/KIF11/KIF18B/MKI67/HJURP/BUB3/CENPO/CDC6/RCC2/KIF23/OIP5/SPC24/SMC4/DLGAP5/SPAG5/KIF14/CENPU/MAPK15/KIF18A/TTK/CCNE2/KIF15/CENPW/HORMAD1",62
"GO:0098813","nuclear chromosome segregation","53/724","324/18986",0.16358024691358,4.28968862969784,11.8918280508939,1.89229669695585e-19,3.06615141463413e-16,2.61402529681234e-16,"MYBL2/NUSAP1/CCNB1/AURKB/PLK1/CDCA8/KIFC1/KIF2C/ZWINT/TPX2/NCAPD2/PRC1/INCENP/AURKA/ESPL1/UBE2C/NCAPH/CDT1/CCNB2/TOP2A/CDC20/RCC1/NCAPG2/PTTG1/PSRC1/ANAPC11/KIF4A/DSN1/TACC3/ASPM/CCNE1/CHMP4C/CDCA5/CENPF/MAD2L1/PRICKLE1/KIF11/KIF18B/BUB3/CDC6/RCC2/KIF23/SPC24/SMC4/DLGAP5/SPAG5/KIF14/MAPK15/KIF18A/TTK/CCNE2/KIF15/HORMAD1",53
"GO:0000819","sister chromatid segregation","44/724","235/18986",0.187234042553191,4.90998001645703,12.008718557732,1.20734945979718e-18,1.25847367897141e-15,1.07290266765782e-15,"MYBL2/NUSAP1/CCNB1/AURKB/PLK1/CDCA8/KIFC1/KIF2C/ZWINT/TPX2/NCAPD2/PRC1/INCENP/ESPL1/UBE2C/NCAPH/CDT1/TOP2A/CDC20/RCC1/NCAPG2/PSRC1/ANAPC11/KIF4A/TACC3/CHMP4C/CDCA5/CENPF/MAD2L1/PRICKLE1/KIF11/KIF18B/BUB3/CDC6/KIF23/SPC24/SMC4/DLGAP5/SPAG5/KIF14/MAPK15/KIF18A/TTK/KIF15",44
"GO:0000070","mitotic sister chromatid segregation","40/724","194/18986",0.206185567010309,5.40696018682007,12.2843987385129,1.29445965744848e-18,1.25847367897141e-15,1.07290266765782e-15,"MYBL2/NUSAP1/CCNB1/AURKB/PLK1/CDCA8/KIFC1/KIF2C/ZWINT/TPX2/NCAPD2/PRC1/INCENP/ESPL1/UBE2C/NCAPH/CDT1/CDC20/RCC1/NCAPG2/PSRC1/ANAPC11/KIF4A/CHMP4C/CDCA5/CENPF/MAD2L1/PRICKLE1/KIF11/KIF18B/BUB3/KIF23/SPC24/SMC4/DLGAP5/SPAG5/KIF14/KIF18A/TTK/KIF15",40
"GO:0140014","mitotic nuclear division","48/724","282/18986",0.170212765957447,4.46361819677912,11.6677666404837,1.89965461634201e-18,1.53903684833975e-15,1.31209477623482e-15,"MYBL2/NUSAP1/CCNB1/AURKB/PLK1/CDCA8/KIFC1/KIF2C/ZWINT/TPX2/NCAPD2/PRC1/UBE2S/INCENP/AURKA/ESPL1/UBE2C/NCAPH/CDT1/CDC20/RCC1/NCAPG2/PSRC1/ANAPC11/KIF4A/PKMYT1/CHMP4C/CDCA5/CENPF/PDXP/MAD2L1/PRICKLE1/KIF11/KIF18B/MKI67/BUB3/RANBP1/KIF23/SPC24/SMC4/DLGAP5/SPAG5/KIF14/ANLN/TNF/KIF18A/TTK/KIF15",48
"GO:0044772","mitotic cell cycle phase transition","61/724","467/18986",0.130620985010707,3.42537295775314,10.5664382664243,2.99811979501118e-17,2.08198004622134e-14,1.77497708766301e-14,"E2F1/CCNB1/AURKB/PLK1/CDCA8/FOXM1/ZWINT/MELK/CKS2/UBE2S/INCENP/IQGAP3/AURKA/ESPL1/UBE2C/CCNA2/INHBA/DTL/CCNB2/EIF4EBP1/RFWD3/CDC20/RRM2/RCC1/ANAPC11/PKMYT1/TACC3/CCNE1/UBD/GTSE1/CHMP4C/CDCA5/CENPF/CDKN2A/CDKN3/MAD2L1/TICRR/BUB3/CDC6/TFDP1/ORC1/RCC2/CDK6/E2F3/SPC24/CCNF/DLGAP5/RBM38/KIF14/ANLN/CDKN2B/CDC7/CDC25A/CDC25B/EZH2/CCND1/MUC1/CCNO/TTK/CCNE2/BLM",61
"GO:0006261","DNA-templated DNA replication","33/724","169/18986",0.195266272189349,5.12061525384942,10.7134819031904,7.44002381896008e-15,4.52074447299562e-12,3.85412812832182e-12,"TK1/RECQL4/MCM2/MCM4/PARP1/MCM3/DDX11/POLD1/HMGA1/POLA2/CDT1/TONSL/MCM5/TIMELESS/RFWD3/MCM7/PCNA/GINS1/CCNE1/RAD51/TICRR/WRNIP1/CDK2AP1/CDC6/FEN1/ORC1/MCM6/CHTF18/DSCC1/CDC7/CDC45/CCNE2/BLM",33
"GO:1901990","regulation of mitotic cell cycle phase transition","47/724","368/18986",0.127717391304348,3.34922982224357,9.06114992606529,3.45675034346387e-13,1.86702926884199e-10,1.59172235113652e-10,"E2F1/CCNB1/AURKB/PLK1/CDCA8/ZWINT/INCENP/AURKA/ESPL1/UBE2C/INHBA/DTL/RFWD3/CDC20/RRM2/ANAPC11/PKMYT1/CCNE1/UBD/GTSE1/CHMP4C/CDCA5/CENPF/CDKN2A/MAD2L1/TICRR/BUB3/CDC6/TFDP1/ORC1/RCC2/CDK6/SPC24/DLGAP5/RBM38/KIF14/ANLN/CDKN2B/CDC7/CDC25A/CDC25B/EZH2/CCND1/MUC1/TTK/CCNE2/BLM",47
"GO:1905818","regulation of chromosome separation","21/724","77/18986",0.272727272727273,7.15193370165746,10.7701844920808,6.47657410662948e-13,3.14826267323259e-10,2.68402865871582e-10,"CCNB1/AURKB/PLK1/CDCA8/ZWINT/NCAPD2/INCENP/ESPL1/UBE2C/NCAPH/CDC20/NCAPG2/ANAPC11/CENPF/MAD2L1/BUB3/SPC24/SMC4/DLGAP5/MAPK15/TTK",21
