"fold","Accuracy","Sensitivity","Specificity","n_features"
"Fold1.Rep1",1,1,1,10
"Fold2.Rep1",1,1,1,10
"Fold3.Rep1",1,1,1,10
"Fold4.Rep1",1,1,1,10
"Fold5.Rep1",1,1,1,10
"Fold1.Rep2",1,1,1,10
"Fold2.Rep2",1,1,1,10
"Fold3.Rep2",1,1,1,10
"Fold4.Rep2",1,1,1,10
"Fold5.Rep2",1,1,1,10
"Fold1.Rep3",1,1,1,10
"Fold2.Rep3",1,1,1,10
"Fold3.Rep3",1,1,1,10
"Fold4.Rep3",1,1,1,10
"Fold5.Rep3",1,1,1,10
"Fold1.Rep4",1,1,1,10
"Fold2.Rep4",1,1,1,10
"Fold3.Rep4",1,1,1,10
"Fold4.Rep4",1,1,1,10
"Fold5.Rep4",1,1,1,10
"Fold1.Rep5",1,1,1,10
"Fold2.Rep5",1,1,1,10
"Fold3.Rep5",1,1,1,10
"Fold4.Rep5",1,1,1,10
"Fold5.Rep5",1,1,1,10
